Date,Platform,Visitors,Signups,Revenue
2024-02-21,WEBSITE,1055.0,38.0,15062.44
19-05-2024,Marketplace,773.0,32.0,13717.04
2024/04/05,marketplace,,42.0,18490.06
01-04-2024,Mobile App,1038.0,44.0,23844.54
2024/06/05,WEBSITE,1967.0,51.0,"$61,256.04"
2024/02/08,Mobile app,929.0,37.0,21585.98
12/01/2024,MobileApp,853.0,35.0,"$13,042.83"
2024/01/05,Web site,904.0,37.0,16640.82
2024-05-23,Website,1116.0,49.0,18636.44
22-04-2024,marketplace,1052.0,49.0,
2024-01-14,Web site,592.0,30.0,13001.47
2024/04/10,Mobile app,1177.0,49.0,17448.6
20/01/2024,Mobile App,663.0,25.0,10222.96
2024/03/02,Marketplace,727.0,29.0,10860.9
2024/03/29,WEBSITE,1063.0,52.0,19163.11
13/04/2024,MARKETPLACE,659.0,34.0,13697.7
24/03/2024,website,744.0,37.0,11293.03
2024/06/07,Marketplace,1279.0,68.0,21919.3
2024/02/22,Marketplace,829.0,42.0,18932.34
25/04/2024,website,1071.0,62.0,19696.8
2024/02/23,Web site,925.0,46.0,20197.38
08/05/2024,Mobile app,1133.0,52.0,21455.65
2024/01/19,MobileApp,779.0,35.0,16422.82
31-01-2024,mobile app,948.0,43.0,13814.29
2024-01-07,marketplace,536.0,26.0,12972.31
23-04-2024,WEBSITE,964.0,65.0,23031.87
2024/01/01,marketplace,804.0,47.0,17740.95
14/04/2024,mobile app,816.0,41.0,12089.54
2024-03-30,WEBSITE,668.0,37.0,16621.44
2024-04-09,MobileApp,1169.0,45.0,21847.75
2024-03-25,marketplace,928.0,56.0,"$21,026.92"
2024-01-13,WEBSITE,640.0,28.0,9620.59
2024-01-03,MobileApp,724.0,38.0,
2024-03-12,Website,934.0,47.0,"$18,501.69"
2024/01/17,marketplace,838.0,49.0,19762.66
2024-03-13,Mobile app,1058.0,49.0,
2024-06-06,MobileApp,1300.0,54.0,27071.39
05/03/2024,Marketplace,1098.0,50.0,23234.49
2024/06/08,MARKETPLACE,918.0,43.0,15092.47
24-02-2024,Website,591.0,28.0,10783.35
18/04/2024,website,1137.0,57.0,21772.03
05/02/2024,MobileApp,1427.0,45.0,75291.08
2024/03/02,Marketplace,727.0,29.0,10860.9
01/05/2024,Web site,2127.0,51.0,"$67,997.24"
17/06/2024,Web site,1194.0,74.0,"$22,524.07"
07/04/2024,Web site,639.0,44.0,14922.08
2024-01-06,Marketplace,651.0,32.0,"$8,887.34"
31/03/2024,Mobile App,723.0,30.0,17289.38
19/02/2024,website,1009.0,40.0,19204.76
01-04-2024,Mobile App,1038.0,44.0,23844.54
15-06-2024,marketplace,794.0,37.0,20218.49
20/06/2024,mobile app,1220.0,65.0,26621.29
2024-05-25,MARKETPLACE,819.0,47.0,"$15,309.46"
03-04-2024,Mobile app,998.0,46.0,20226.33
2024-05-14,MobileApp,1286.0,62.0,21485.2
29-02-2024,Website,1866.0,42.0,49703.13
2024-04-04,Website,,47.0,22195.12
06/04/2024,MobileApp,841.0,40.0,15337.91
29-05-2024,MARKETPLACE,1279.0,54.0,26376.76
07/02/2024,MARKETPLACE,1023.0,51.0,17846.8
2024/01/28,WEBSITE,589.0,25.0,
28/03/2024,Mobile App,907.0,46.0,22697.96
31-05-2024,Mobile app,1331.0,70.0,23651.83
2024-04-08,Marketplace,1065.0,59.0,23045.67
24-01-2024,Mobile App,793.0,37.0,18475.17
20/04/2024,MARKETPLACE,826.0,42.0,11834.93
02-02-2024,Web site,764.0,42.0,20569.61
2024/05/28,mobile app,1178.0,54.0,
2024-03-22,MobileApp,955.0,47.0,23683.57
15/02/2024,Mobile App,,40.0,88400.84
2024-02-09,website,1011.0,46.0,15950.09
2024-04-21,Mobile app,,41.0,"$15,611.15"
17-05-2024,Marketplace,1163.0,48.0,"$23,437.17"
2024-01-08,mobile app,849.0,34.0,12284.06
18/01/2024,marketplace,846.0,47.0,
2024-04-26,website,1007.0,63.0,25942.59
14/02/2024,Website,,46.0,14593.21
